Product Url,Product Name,Brand,Product ID,Price,Rating,Number of Reviews,Parent Category,Sub Category,Sales Rank(in parent category),Sales Rank(in sub category),Release Date,Country of Origin,Purchased in Last Month
https://www.amazon.com/Ultra-Luxe-Cloud-Unisex-Luxurious-Fabric/dp/B09319MZJN/ref=zg_bs_g_fashion_d_sccl_45/135-5538322-2157468?psc=1,Unboxme Gifts Warm & Cozy Ultra-Luxe Cloud Sock for Women & Men - Super Soft Luxurious Fabric Sleep Socks,Unboxme Gifts,B09319MZJN,9.99,4.6,1690.0,"Clothing, Shoes & Jewelry",Women's Calf Socks,45.0,4.0,2024-03-13,USA,20000.0
https://www.amazon.com/No-Nonsense-Womens-Opaque-Control-Top/dp/B087QRM45Y/ref=zg_bs_g_fashion_d_sccl_46/135-5538322-2157468?psc=1,No Nonsense Women's Super Opaque Control Top Tights,No Nonsense,B087QRM45Y,11.49,4.4,32616.0,"Clothing, Shoes & Jewelry",Women's Tights,46.0,3.0,2023-11-07,USA,6000.0
https://www.amazon.com/BomKinta-Women-Winter-Solid-Socks/dp/B08N6GPML1/ref=zg_bs_g_fashion_d_sccl_47/135-5538322-2157468?psc=1,BomKinta Boot Socks for Women Winter Solid Thick Warm Socks Cozy Crew Socks Christmas Gift,BomKinta,B08N6GPML1,16.99,4.6,7725.0,"Clothing, Shoes & Jewelry",Women's Calf Socks,47.0,1.0,2020-11-11,Unknown,20000.0
https://www.amazon.com/Hanes-Womens-V-Notch-Pullover-Sweatshirt/dp/B01I8JLLS4/ref=zg_bs_g_fashion_d_sccl_48/135-5538322-2157468?psc=1,"Hanes Women's Ecosmart V-Notch Crewneck Sweatshirt, Fleece Pullover Sweatshirt For Women",Hanes,B01I8JLLS4,6.12,4.3,67274.0,"Clothing, Shoes & Jewelry",Women's Sweatshirts,48.0,1.0,2024-04-27,Honduras,2000.0
https://www.amazon.com/Gloria-Vanderbilt-Womens-Amanda-Classic/dp/B00021NY1Y/ref=zg_bs_g_fashion_d_sccl_49/135-5538322-2157468?psc=1,Gloria Vanderbilt Women's Amanda Classic High Rise Tapered Jean,Gloria Vanderbilt,B00021NY1Y,19.22,4.3,73151.0,"Clothing, Shoes & Jewelry",Women's Jeans,49.0,1.0,2024-09-23,China,600.0
https://www.amazon.com/Hanes-Full-zip-Eco-smart-athletic-sweatshirts/dp/B00JUM4CT4/ref=zg_bs_g_fashion_d_sccl_50/135-5538322-2157468?psc=1,Hanes Men's EcoSmart Fleece Full-Zip Hoodie Sweatshirt,Hanes,B00JUM4CT4,19.0,4.5,78637.0,"Clothing, Shoes & Jewelry",Men's Athletic Hoodies,50.0,1.0,2024-04-03,Honduras,3000.0
https://www.amazon.com/RUNNING-GIRL-Criss-Cross-Removable-WX2353-Black-XL/dp/B07XCJ6X6V/ref=zg_bs_g_fashion_d_sccl_1/135-5538322-2157468?psc=1,"RUNNING GIRL Sports Bra for Women, Criss-Cross Back Padded Strappy Sports Bras Medium Support Yoga Bra with Removable Cups",RUNNING GIRL,B07XCJ6X6V,16.49,4.4,42850.0,"Clothing, Shoes & Jewelry",Women's Sports Bras,59.0,1.0,2020-06-10,Unknown,2000.0
https://www.amazon.com/Fruit-Loom-Recycled-Premium-Underwear/dp/B08D2Q4NDZ/ref=zg_bs_g_fashion_d_sccl_2/135-5538322-2157468?psc=1,Fruit of the Loom mens Recycled Premium Waffle Thermal Underwear Long Johns Bottom,Fruit of the Loom,B08D2Q4NDZ,20.73,4.6,20896.0,"Clothing, Shoes & Jewelry",Men's Thermal Underwear Bottoms,52.0,1.0,2024-10-24,Unknown,4000.0
https://www.amazon.com/Carhartt-Workwear-Short-Sleeve-T-Shirt-X-Large/dp/B002GHC19I/ref=zg_bs_g_fashion_d_sccl_3/135-5538322-2157468?psc=1,Carhartt Men's Loose Fit Heavyweight Short-Sleeve Pocket T-Shirt,Carhartt,B002GHC19I,19.99,4.6,113951.0,"Clothing, Shoes & Jewelry",Men's Work Utility & Safety Tops,53.0,1.0,2024-04-30,Unknown,9759.294871794871
https://www.amazon.com/Legendary-Whitetails-Flannels-Charcoal-Heather/dp/B01KTUK3PM/ref=zg_bs_g_fashion_d_sccl_4/135-5538322-2157468?psc=1,"Legendary Whitetails Men's Buck Camp Flannel, Long Sleeve Plaid Button Down Casual Shirt, Corduroy Cuffs",Legendary Whitetails,B01KTUK3PM,32.19,4.6,92480.0,"Clothing, Shoes & Jewelry",Men's Button-Down Shirts,61.0,2.0,2024-10-17,China,1000.0
